  i	        epsilon	     Acceptance rate	     seconds	       log(Z_tot)	     log(Var(Z_tot))	            log(Z_D)	       log(Var(Z_D))	            log(Z_L)	       log(Var(Z_L))	        log(Var_min)	           Delta_max	          Delta_LFNS	    sampling seconds
  1	   -6.73474e+06	            0.847458	        1.87	          91.2007	             182.304	        -6.73795e+06	        -1.34759e+07	             91.2007	             182.304	             173.293	         6.73805e+06	          -0.0599471	                1.86
  2	   -2.36186e+06	            0.819672	        1.94	          91.0955	             182.093	        -2.42392e+06	        -4.84784e+06	             91.0955	             182.093	             173.776	         2.42402e+06	          -0.0645258	                1.93
  3	        -696794	                 0.8	        1.97	          90.9902	             181.883	             -703061	        -1.40612e+06	             90.9902	             181.883	             173.971	              703159	          -0.0680397	                1.96
  4	        -230069	            0.609756	        2.14	          90.9658	              181.68	             -230699	             -461394	             90.9658	              181.68	              174.21	              230797	           -0.149787	                2.12
  5	       -87536.4	            0.636943	           2	          90.8606	              181.47	            -87722.1	             -175439	             90.8606	              181.47	             174.223	             87819.8	           -0.152607	                1.98
  6	       -45439.1	            0.549451	        2.13	          90.7553	              181.26	            -45651.3	            -91297.3	             90.7553	              181.26	             174.195	             45748.8	           -0.155162	                2.11
  7	       -22375.5	            0.458716	        2.03	          90.6501	             181.049	            -22450.9	            -44896.5	             90.6501	             181.049	             174.138	             22548.3	           -0.157507	                2.03
  8	       -11102.7	            0.473934	        1.94	          90.5682	              180.84	            -11169.1	            -22333.1	             90.5682	              180.84	             174.108	             11266.5	           -0.183517	                1.93
  9	       -5980.77	             0.41841	        2.15	          90.4629	             180.629	            -5988.66	            -11972.1	             90.4629	             180.629	             174.015	             6085.87	           -0.185615	                2.14
 10	       -3316.04	            0.348432	        2.05	          90.3612	             180.419	            -3333.74	             -6662.3	             90.3612	             180.419	             173.917	             3430.85	           -0.191222	                2.04
 11	       -1952.67	            0.325733	        1.92	          199.751	             399.502	            -1967.32	            -3930.56	             199.751	             399.502	             392.791	             2173.97	          -0.0349086	                 1.9
 12	       -1172.67	            0.332226	           2	          199.645	             399.292	            -1189.42	             -2374.9	             199.645	             399.292	             392.668	             1395.97	          -0.0364612	                1.99
 13	       -719.311	            0.284091	           2	           199.54	             399.082	            -734.617	            -1464.05	              199.54	             399.082	             392.538	             941.065	          -0.0379503	                1.97
 14	       -477.502	            0.235849	        1.97	          199.435	             398.871	             -486.37	            -969.798	             199.435	             398.871	             392.401	             692.713	          -0.0393833	                1.96
 15	       -298.379	             0.17762	           2	           199.33	             398.661	             -309.34	            -613.719	              199.33	             398.661	              392.26	             515.577	          -0.0407659	                1.97
 16	       -169.273	            0.172414	           2	          199.224	              398.45	             -178.89	            -354.734	             199.224	              398.45	             392.114	             385.022	          -0.0421033	                1.98
 17	        -103.03	            0.158479	        2.06	          199.119	              398.24	            -111.072	             -219.06	             199.119	              398.24	             391.964	             317.099	          -0.0433995	                2.04
 18	       -48.9918	            0.165563	        1.87	          199.014	              398.03	            -57.2118	            -112.267	             199.014	              398.03	             391.811	             263.133	          -0.0446581	                1.85
 19	       -3.86751	             0.12837	         1.9	          198.909	             397.819	            -12.1527	            -21.7658	             198.909	             397.819	             391.654	             217.969	          -0.0458822	                1.89
 20	        23.1043	            0.129366	        1.96	          198.803	             397.609	             15.9402	             32.8914	             198.803	             397.609	             391.495	             189.771	          -0.0470746	                1.94
 21	        41.8334	            0.103093	        2.02	          198.698	             397.398	             34.0402	             70.2252	             198.698	             397.398	             391.334	             171.566	          -0.0482376	                   2
 22	        52.4257	           0.0896057	        1.87	          198.593	             397.188	             45.7667	             91.1233	             198.593	             397.188	              391.17	             159.734	          -0.0493732	                1.84
 23	        60.6777	            0.084246	        1.88	          198.488	             396.978	             54.0205	             107.383	             198.488	             396.978	             391.004	             151.375	          -0.0504833	                1.86
 24	        67.1768	           0.0790514	        2.34	          198.382	             396.767	             60.7135	             120.179	             198.382	             396.767	             390.836	             144.577	          -0.0515696	                 2.3
 25	        71.5052	           0.0909918	        2.52	          198.277	             396.557	             65.1636	             128.693	             198.277	             396.557	             390.666	             140.021	          -0.0526335	                2.49
 26	        75.3404	           0.0607533	        2.19	          198.172	             396.347	             69.0482	             136.141	             198.172	             396.347	             390.495	             136.031	          -0.0536763	                2.16
 27	        78.0574	           0.0650618	        2.26	          198.067	             396.136	             71.9907	             141.332	             198.067	             396.136	             390.322	             132.984	          -0.0546993	                2.23
 28	        79.5914	           0.0549451	        4.05	          197.961	             395.926	             73.9398	             144.287	             197.961	             395.926	             390.148	             130.929	          -0.0557036	                3.98
 29	        81.1366	           0.0564972	        4.27	          197.856	             395.715	             75.4254	             147.176	             197.856	             395.715	             389.973	             129.338	          -0.0566901	                4.22
 30	        81.7098	           0.0433088	        3.21	          197.751	             395.505	             76.5335	             148.555	             197.751	             395.505	             389.796	             128.125	          -0.0576597	                3.17
 31	        82.0581	           0.0402901	        2.43	          197.646	             395.295	             77.1722	             149.448	             197.646	             395.295	             389.619	             127.381	          -0.0586134	                2.39
 32	        82.3412	           0.0338409	        2.03	           197.54	             395.084	             77.6319	             150.139	              197.54	             395.084	              389.44	             126.816	          -0.0595518	                2.02
 33	        82.6007	           0.0890472	        2.22	          197.435	             394.874	             77.9941	             150.718	             197.435	             394.874	              389.26	             126.349	          -0.0604757	               12.55
 34	        82.7513	              0.3003	        1.97	           197.33	             394.663	             78.2819	              151.18	              197.33	             394.663	              389.08	             125.956	          -0.0613857	               13.02
 35	        82.9129	            0.446429	        2.05	          197.225	             394.453	             78.5177	             151.572	             197.225	             394.453	             388.898	             125.615	          -0.0622825	                 6.1
 36	        83.0278	            0.574713	        2.01	          197.119	             394.243	             78.7141	             151.905	             197.119	             394.243	             388.716	             125.313	          -0.0631666	                4.05
 37	        83.1381	            0.595238	        1.91	          197.014	             394.032	             78.8784	              152.19	             197.014	             394.032	             388.533	             125.043	          -0.0640385	                3.64
 38	        83.2097	            0.555556	        1.98	          196.909	             393.822	             79.0174	             152.434	             196.909	             393.822	             388.349	             124.799	          -0.0648987	                3.83
 39	        83.2849	            0.609756	        1.92	          196.804	             393.611	             79.1361	             152.646	             196.804	             393.611	             388.165	             124.575	          -0.0657477	                3.92
 40	        83.3344	            0.561798	        2.01	          196.698	             393.401	             79.2377	             152.829	             196.698	             393.401	              387.98	             124.368	          -0.0665859	                3.83
 41	        83.3798	            0.507614	        1.88	          196.593	             393.191	             79.3253	             152.989	             196.593	             393.191	             387.794	             124.176	          -0.0674137	                4.62
 42	        83.4156	            0.543478	        2.12	          196.488	              392.98	             79.4007	             153.129	             196.488	              392.98	             387.608	             123.995	          -0.0682315	                3.66
 43	        83.4387	            0.534759	        1.93	          196.383	              392.77	             79.4659	              153.25	             196.383	              392.77	             387.421	             123.824	          -0.0690396	                3.15
 44	        83.4594	             0.60241	        1.97	          196.277	              392.56	             79.5224	             153.356	             196.277	              392.56	             387.233	             123.663	          -0.0698384	                 2.5
 45	        83.4762	            0.507614	        1.96	          196.172	             392.349	             79.5715	              153.45	             196.172	             392.349	             387.045	             123.508	          -0.0706282	                2.99
 46	         83.488	            0.512821	        1.96	          196.067	             392.139	             79.6143	             153.531	             196.067	             392.139	             386.857	              123.36	          -0.0714093	                4.24
 47	        83.4987	            0.490196	        1.98	          195.962	             391.928	             79.6517	             153.603	             195.962	             391.928	             386.668	             123.218	           -0.072182	                 3.4
 48	        83.5048	             0.46729	        1.97	          195.856	             391.718	             79.6845	             153.667	             195.856	             391.718	             386.478	              123.08	          -0.0729465	                3.38
 49	        83.5102	            0.406504	         1.9	          195.751	             391.508	             79.7133	             153.723	             195.751	             391.508	             386.289	             122.946	          -0.0737032	                3.67
 50	        83.5156	            0.515464	        1.98	          195.646	             391.297	             79.7387	             153.773	             195.646	             391.297	             386.098	             122.815	          -0.0744521	                2.97
 51	        83.5188	            0.406504	        2.05	          195.541	             391.087	             79.7611	             153.817	             195.541	             391.087	             385.908	             122.687	          -0.0751937	                3.21
 52	        83.5217	            0.403226	        2.02	          195.435	             390.876	             79.7809	             153.857	             195.435	             390.876	             385.717	             122.562	           -0.075928	                3.54
 53	        83.5238	            0.387597	        1.98	           195.33	             390.666	             79.7984	             153.892	              195.33	             390.666	             385.525	             122.439	          -0.0766553	                3.38
 54	        83.5253	            0.480769	        1.94	          195.225	             390.456	              79.814	             153.923	             195.225	             390.456	             385.334	             122.319	          -0.0773758	                2.91
 55	        83.5269	             0.44843	        1.93	           195.12	             390.245	             79.8278	             153.951	              195.12	             390.245	             385.141	               122.2	          -0.0780897	                2.81
 56	        83.5279	            0.348432	         2.1	          195.014	             390.035	             79.8401	             153.976	             195.014	             390.035	             384.949	             122.082	          -0.0787971	                3.78
 57	        83.5287	            0.249377	        2.47	          194.909	             389.824	             79.8511	             153.998	             194.909	             389.824	             384.756	             121.966	          -0.0794983	                6.37
 58	        83.5293	             0.20284	         2.1	          194.804	             389.614	             79.8608	             154.018	             194.804	             389.614	             384.563	             121.851	          -0.0801933	                5.68
 59	        83.5297	            0.226757	        2.07	          194.699	             389.404	             79.8695	             154.036	             194.699	             389.404	              384.37	             121.737	          -0.0808824	                3.64
 60	        83.5301	            0.238663	        2.02	          194.593	             389.193	             79.8773	             154.052	             194.593	             389.193	             384.176	             121.624	          -0.0815657	                3.11
 61	        83.5304	            0.184162	        2.26	          194.488	             388.983	             79.8842	             154.066	             194.488	             388.983	             383.982	             121.512	          -0.0822434	                4.53
 62	        83.5306	           0.0404531	        2.44	          194.383	             388.773	             79.8905	             154.079	             194.383	             388.773	             383.788	               121.4	          -0.0829156	                 3.9
 63	        83.5307	            0.126422	        2.35	          194.278	             388.562	              79.896	              154.09	             194.278	             388.562	             383.594	             121.289	          -0.0835823	                4.65
 64	        83.5308	            0.074184	        1.95	          194.172	             388.352	              79.901	             154.101	             194.172	             388.352	             383.399	             121.179	          -0.0842439	                2.74
 65	        83.5309	            0.146628	        2.38	          194.067	             388.141	             79.9055	              154.11	             194.067	             388.141	             383.204	             121.069	          -0.0849002	                3.04
 66	        83.5309	            0.111111	        2.47	          193.962	             387.931	             79.9095	             154.118	             193.962	             387.931	             383.009	              120.96	          -0.0855516	                 3.6
 67	         83.531	            0.136986	        2.66	          193.857	             387.721	             79.9131	             154.126	             193.857	             387.721	             382.813	             120.851	          -0.0861981	                4.22
 68	        83.5776	            0.147929	        2.71	          193.751	              387.51	             79.9163	             154.133	             193.751	              387.51	             382.618	             120.743	          -0.0868398	                3.93
 69	        83.7127	            0.127714	        3.49	          193.646	               387.3	             79.9195	             154.139	             193.646	               387.3	             382.422	             120.634	          -0.0874768	                5.35
 70	        84.2783	            0.134228	        2.78	          193.541	             387.089	             79.9235	             154.148	             193.541	             387.089	             382.226	             120.525	          -0.0881092	                4.48
 71	        85.2555	            0.152439	        2.88	          193.436	             386.879	             79.9312	             154.164	             193.436	             386.879	              382.03	             120.412	          -0.0887371	                4.28
 72	        86.3843	            0.105708	        5.37	           193.33	             386.669	             79.9519	             154.212	              193.33	             386.669	             381.833	             120.286	          -0.0893607	                8.68
 73	        87.7393	           0.0980392	        4.84	          193.225	             386.458	              80.014	             154.383	             193.225	             386.458	             381.637	             120.119	          -0.0899799	                 8.8
 74	        89.0162	            0.093985	        4.63	           193.12	             386.248	             80.1962	             155.001	              193.12	             386.248	              381.44	             119.831	           -0.090595	                6.56
 75	           90.3	            0.108578	        3.99	          193.015	             386.038	              80.628	             156.492	             193.015	             386.038	             381.243	             119.294	          -0.0912059	                5.12
 76	        91.8872	           0.0720461	        4.42	          192.909	             385.827	             81.5075	             159.066	             192.909	             385.827	             381.045	              118.31	          -0.0918128	                6.59
 77	        93.4094	           0.0732064	        5.33	          192.804	             385.617	             82.7514	             161.848	             192.804	             385.617	             380.848	              116.96	          -0.0924157	                8.15
 78	        94.9725	           0.0659196	        5.46	          192.699	             385.406	             84.1411	             164.768	             192.699	             385.406	             380.651	             115.465	          -0.0930147	                7.65
 79	        96.4421	           0.0573066	        5.37	          192.594	             385.196	             85.5832	             167.563	             192.594	             385.196	             380.453	             113.918	          -0.0936099	                7.06
 80	        97.9973	           0.0614251	        5.45	          192.488	             384.986	             87.0025	             170.449	             192.488	             384.986	             380.255	             112.394	          -0.0942014	                9.46
 81	        99.3641	           0.0493827	        5.84	          192.383	             384.775	             88.3454	             173.025	             192.383	             384.775	             380.057	             110.945	          -0.0947955	                 8.4
 82	        101.187	           0.0568182	        6.18	          192.278	             384.565	             89.8058	             176.232	             192.278	             384.565	             379.859	              109.38	          -0.0953797	                8.88
 83	        102.638	            0.039968	        9.85	          192.173	             384.354	             91.3091	             179.099	             192.173	             384.354	             379.661	             107.771	          -0.0959604	               12.38
 84	        104.274	           0.0462963	        7.03	          192.067	             384.144	             92.7283	             182.087	             192.067	             384.144	             379.462	             106.247	          -0.0965376	               10.17
 85	        105.568	            0.043956	        6.52	          209.432	             418.872	             94.1218	             184.618	             209.432	             418.872	             414.202	             122.217	          -0.0971051	                8.97
